,model,year,transmission,mileage,fuelType,engineSize,Automatic,Manual,OtherTransmission,Semi-Auto,Diesel,Hybrid,OtherFuel,Petrol,price
2881, C Class,2016,Automatic,38000,Diesel,2.1,1,0,0,0,1,0,0,0,18990
2882, C Class,2013,Automatic,49000,Petrol,1.6,1,0,0,0,0,0,0,1,8990
2883, C Class,2014,Manual,52000,Diesel,2.1,0,1,0,0,1,0,0,0,12990
2884, C Class,2017,Automatic,18000,Diesel,2.1,1,0,0,0,1,0,0,0,20990
2885, C Class,2017,Automatic,21149,Diesel,2.1,1,0,0,0,1,0,0,0,21535
2886, C Class,2017,Manual,10500,Diesel,2.1,0,1,0,0,1,0,0,0,20000
2887, C Class,2016,Automatic,71991,Diesel,2.1,1,0,0,0,1,0,0,0,15910
2888, C Class,2015,Automatic,31063,Hybrid,2.1,1,0,0,0,0,1,0,0,16499
2889, C Class,2017,Automatic,27040,Diesel,2.1,1,0,0,0,1,0,0,0,16267
2890, C Class,2017,Automatic,14709,Petrol,2.0,1,0,0,0,0,0,0,1,21999
2891, C Class,2017,Automatic,22000,Diesel,2.1,1,0,0,0,1,0,0,0,16950
2892, C Class,2011,Automatic,68000,Diesel,2.1,1,0,0,0,1,0,0,0,9950
2893, C Class,2014,Automatic,48000,Diesel,2.1,1,0,0,0,1,0,0,0,14990
2894, C Class,2019,Semi-Auto,8510,Petrol,1.5,0,0,0,1,0,0,0,1,26999
2895, C Class,2018,Semi-Auto,11494,Petrol,1.5,0,0,0,1,0,0,0,1,22799
2896, C Class,2018,Automatic,11163,Petrol,1.5,1,0,0,0,0,0,0,1,22849
2897, C Class,2019,Semi-Auto,9839,Diesel,2.0,0,0,0,1,1,0,0,0,31699
2898, C Class,2019,Semi-Auto,9690,Petrol,1.5,0,0,0,1,0,0,0,1,26199
2899, C Class,2019,Semi-Auto,10234,Petrol,1.5,0,0,0,1,0,0,0,1,25299
2900, C Class,2019,Semi-Auto,3092,Petrol,1.5,0,0,0,1,0,0,0,1,31599
2901, C Class,2019,Semi-Auto,8746,Diesel,2.0,0,0,0,1,1,0,0,0,29599
2902, C Class,2017,Semi-Auto,21459,Diesel,2.1,0,0,0,1,1,0,0,0,18999
2903, C Class,2018,Automatic,3438,Petrol,2.0,1,0,0,0,0,0,0,1,28399
2904, C Class,2015,Automatic,71000,Diesel,2.1,1,0,0,0,1,0,0,0,13990
2905, C Class,2017,Automatic,49000,Diesel,2.1,1,0,0,0,1,0,0,0,15990
2906, C Class,2014,Automatic,50000,Diesel,2.1,1,0,0,0,1,0,0,0,15490
2907, C Class,2015,Automatic,78000,Diesel,2.1,1,0,0,0,1,0,0,0,14490
2908, C Class,2012,Automatic,88000,Diesel,2.1,1,0,0,0,1,0,0,0,7990
2909, C Class,2017,Automatic,37000,Diesel,2.1,1,0,0,0,1,0,0,0,17990
2910, C Class,2014,Automatic,50000,Diesel,2.1,1,0,0,0,1,0,0,0,11990
2911, C Class,2016,Automatic,23000,Diesel,2.1,1,0,0,0,1,0,0,0,18990
2912, C Class,2015,Automatic,52000,Petrol,2.0,1,0,0,0,0,0,0,1,13490
2913, C Class,2017,Automatic,29000,Diesel,2.1,1,0,0,0,1,0,0,0,20990
2914, C Class,2014,Automatic,60000,Diesel,2.1,1,0,0,0,1,0,0,0,9990
2915, C Class,2013,Automatic,68000,Diesel,2.1,1,0,0,0,1,0,0,0,9490
2916, C Class,2015,Automatic,42000,Diesel,2.1,1,0,0,0,1,0,0,0,13990
2917, C Class,2016,Automatic,50000,Diesel,2.1,1,0,0,0,1,0,0,0,19990
2918, C Class,2016,Automatic,35000,Diesel,2.1,1,0,0,0,1,0,0,0,19990
2919, C Class,2013,Automatic,48000,Diesel,2.1,1,0,0,0,1,0,0,0,9490
2920, C Class,2019,Semi-Auto,14973,Diesel,2.0,0,0,0,1,1,0,0,0,20299
2921, C Class,2019,Semi-Auto,14006,Petrol,1.5,0,0,0,1,0,0,0,1,20349
2922, C Class,2019,Semi-Auto,1919,Diesel,2.0,0,0,0,1,1,0,0,0,29399
2923, C Class,2019,Semi-Auto,15074,Diesel,2.0,0,0,0,1,1,0,0,0,25549
2924, C Class,2015,Automatic,44598,Diesel,2.1,1,0,0,0,1,0,0,0,13599
2925, C Class,2014,Automatic,78966,Diesel,2.1,1,0,0,0,1,0,0,0,13799
2926, C Class,2017,Automatic,28609,Hybrid,2.0,1,0,0,0,0,1,0,0,17499
2927, C Class,2016,Automatic,24227,Diesel,2.1,1,0,0,0,1,0,0,0,18268
2928, C Class,2016,Automatic,43003,Hybrid,2.1,1,0,0,0,0,1,0,0,17999
